TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/03/18
TIME	18:44:16
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  850.0000
LASTX	  300.0000
NPOINTS	     276
FIRSTY	     0.09192
MAXY	     0.41063
MINY	     0.06217
XYDATA
850.0000	0.0919212
848.0000	0.0928928
846.0000	0.0919847
844.0000	0.0917893
842.0000	0.0928315
840.0000	0.0927414
838.0000	0.0923894
836.0000	0.0944744
834.0000	0.0973021
832.0000	0.0973402
830.0000	0.0951636
828.0000	0.0932953
826.0000	0.0945656
824.0000	0.0956949
822.0000	0.0948835
820.0000	0.0974378
818.0000	0.0995168
816.0000	0.0999088
814.0000	0.100222
812.0000	0.0989432
810.0000	0.101754
808.0000	0.101657
806.0000	0.101391
804.0000	0.104433
802.0000	0.10318
800.0000	0.103587
798.0000	0.104253
796.0000	0.105439
794.0000	0.106592
792.0000	0.10786
790.0000	0.109006
788.0000	0.108158
786.0000	0.110621
784.0000	0.111626
782.0000	0.112562
780.0000	0.113826
778.0000	0.113318
776.0000	0.11354
774.0000	0.113585
772.0000	0.114643
770.0000	0.115974
768.0000	0.115529
766.0000	0.115933
764.0000	0.118301
762.0000	0.120543
760.0000	0.120876
758.0000	0.120037
756.0000	0.121042
754.0000	0.123919
752.0000	0.125055
750.0000	0.125071
748.0000	0.125784
746.0000	0.126842
744.0000	0.127973
742.0000	0.129706
740.0000	0.129932
738.0000	0.131616
736.0000	0.132068
734.0000	0.13351
732.0000	0.134718
730.0000	0.134159
728.0000	0.134378
726.0000	0.136712
724.0000	0.138706
722.0000	0.139136
720.0000	0.140183
718.0000	0.141842
716.0000	0.143083
714.0000	0.143901
712.0000	0.145126
710.0000	0.146976
708.0000	0.148536
706.0000	0.149715
704.0000	0.150023
702.0000	0.150674
700.0000	0.152442
698.0000	0.15332
696.0000	0.154153
694.0000	0.156649
692.0000	0.160129
690.0000	0.161495
688.0000	0.161799
686.0000	0.162941
684.0000	0.164354
682.0000	0.166108
680.0000	0.168361
678.0000	0.169744
676.0000	0.170765
674.0000	0.17297
672.0000	0.174492
670.0000	0.176168
668.0000	0.178032
666.0000	0.179558
664.0000	0.180881
662.0000	0.182464
660.0000	0.184916
658.0000	0.187603
656.0000	0.188834
654.0000	0.189796
652.0000	0.191235
650.0000	0.1937
648.0000	0.196833
646.0000	0.198086
644.0000	0.19899
642.0000	0.201292
640.0000	0.204297
638.0000	0.206012
636.0000	0.207823
634.0000	0.210547
632.0000	0.21273
630.0000	0.214656
628.0000	0.216591
626.0000	0.2191
624.0000	0.221415
622.0000	0.223611
620.0000	0.226827
618.0000	0.2297
616.0000	0.231197
614.0000	0.233426
612.0000	0.236515
610.0000	0.238899
608.0000	0.241027
606.0000	0.243446
604.0000	0.246411
602.0000	0.248845
600.0000	0.251613
598.0000	0.254538
596.0000	0.257877
594.0000	0.260405
592.0000	0.263305
590.0000	0.26586
588.0000	0.268504
586.0000	0.271771
584.0000	0.273732
582.0000	0.276901
580.0000	0.281174
578.0000	0.284194
576.0000	0.287389
574.0000	0.290143
572.0000	0.292815
570.0000	0.295545
568.0000	0.298774
566.0000	0.302567
564.0000	0.305415
562.0000	0.308275
560.0000	0.312043
558.0000	0.315432
556.0000	0.318239
554.0000	0.32114
552.0000	0.324015
550.0000	0.327872
548.0000	0.331059
546.0000	0.333638
544.0000	0.337225
542.0000	0.340733
540.0000	0.344083
538.0000	0.346509
536.0000	0.349513
534.0000	0.35347
532.0000	0.356279
530.0000	0.359193
528.0000	0.362258
526.0000	0.365244
524.0000	0.368392
522.0000	0.370908
520.0000	0.373188
518.0000	0.37597
516.0000	0.378706
514.0000	0.381425
512.0000	0.383218
510.0000	0.385053
508.0000	0.387864
506.0000	0.390531
504.0000	0.392573
502.0000	0.395435
500.0000	0.397487
498.0000	0.398812
496.0000	0.401034
494.0000	0.402252
492.0000	0.403334
490.0000	0.405127
488.0000	0.406775
486.0000	0.407263
484.0000	0.407984
482.0000	0.409019
480.0000	0.409649
478.0000	0.410293
476.0000	0.410318
474.0000	0.409979
472.0000	0.410395
470.0000	0.410632
468.0000	0.410052
466.0000	0.409184
464.0000	0.408419
462.0000	0.407849
460.0000	0.407669
458.0000	0.406859
456.0000	0.405461
454.0000	0.404061
452.0000	0.402306
450.0000	0.400314
448.0000	0.398753
446.0000	0.397016
444.0000	0.394566
442.0000	0.392392
440.0000	0.390234
438.0000	0.387982
436.0000	0.385801
434.0000	0.383329
432.0000	0.380838
430.0000	0.379463
428.0000	0.378236
426.0000	0.375773
424.0000	0.374529
422.0000	0.374235
420.0000	0.371968
418.0000	0.37104
416.0000	0.370779
414.0000	0.369379
412.0000	0.366416
410.0000	0.364692
408.0000	0.362694
406.0000	0.358897
404.0000	0.35531
402.0000	0.352315
400.0000	0.347976
398.0000	0.341423
396.0000	0.334814
394.0000	0.327716
392.0000	0.319193
390.0000	0.310066
388.0000	0.301126
386.0000	0.292314
384.0000	0.284258
382.0000	0.276351
380.0000	0.267648
378.0000	0.259353
376.0000	0.25167
374.0000	0.244969
372.0000	0.237834
370.0000	0.229332
368.0000	0.225995
366.0000	0.219936
364.0000	0.212024
362.0000	0.203705
360.0000	0.199302
358.0000	0.198783
356.0000	0.194784
354.0000	0.187314
352.0000	0.182892
350.0000	0.179769
348.0000	0.173569
346.0000	0.164026
344.0000	0.15322
342.0000	0.141168
340.0000	0.128157
338.0000	0.119261
336.0000	0.109451
334.0000	0.0988624
332.0000	0.0893194
330.0000	0.0807546
328.0000	0.0742059
326.0000	0.0701993
324.0000	0.065463
322.0000	0.0621747
320.0000	0.0628563
318.0000	0.0646335
316.0000	0.0695761
314.0000	0.0757353
312.0000	0.0835884
310.0000	0.0935347
308.0000	0.105738
306.0000	0.117316
304.0000	0.125333
302.0000	0.13453
300.0000	0.143026

##### Extended Information
[Comments]
Sample name
Comment
User
Division
Company	NCTU

[Detailed Information]
Creation date	3/18/2021 6:44 PM

Data array type	Linear data array
Horizontal axis	Wavelength [nm]
Vertical axis	Abs
Start	850 nm
End	300 nm
Data interval	2 nm
Data points	276     

[Measurement Information]
Instrument name	V-660
Model name	V-660
Serial No.	A023561152

Accessory	USE-753
Accessory S/N	A023561152
  Cell length	10 mm

Photometric mode	Abs
Measurement range	850 - 300 nm
Data interval	2 nm
UV/Vis bandwidth	0.2 nm
Response	Fast
Scan speed	1000 nm/min
Change source at	340 nm
Light source	D2/WI
Filter exchange	Step
Correction	Baseline

